generation, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
0,-178.0,-26.0,-146.0,-90.0,-25.0,-51.0,-30.0,-43.0,-139.0,-201.0,-131.0,-86.0,-126.0,-64.0,-56.0,-197.0,-137.0,-18.0,-139.0,-62.0
1,-30.0,-26.0,-164.0,-146.0,-56.0,-72.0,-62.0,-39.0,-63.0,-128.0,-90.0,-39.0,-32.0,-115.0,-26.0,-43.0,-79.0,-147.0,-94.0,-116.0
2,-51.0,-90.0,-47.0,-56.0,-63.0,-77.0,-188.0,-154.0,-130.0,-32.0,-56.0,213.0,-63.0,-72.0,-64.0,-26.0,-47.0,-43.0,-56.0,-87.0
3,-26.0,-32.0,-56.0,-93.0,-43.0,-47.0,176.0,176.0,-47.0,-56.0,-24.0,-32.0,-59.0,-26.0,-43.0,-56.0,-55.0,-56.0,-27.0,-8.0
4,-47.0,-24.0,-32.0,-56.0,-19.0,-38.0,-23.0,-8.0,176.0,-55.0,-8.0,-8.0,-44.0,176.0,-8.0,-54.0,-28.0,-43.0,155.0,176.0
5,-8.0,-39.0,-8.0,-59.0,-3.0,-8.0,-8.0,-19.0,-47.0,-23.0,-8.0,-8.0,-32.0,-8.0,213.0,-47.0,-8.0,-8.0,-3.0,-32.0
6,-8.0,-8.0,213.0,-8.0,-8.0,-32.0,-32.0,-8.0,-90.0,-8.0,-8.0,-3.0,-8.0,-8.0,-8.0,-8.0,167.0,-8.0,-8.0,-8.0
7,167.0,213.0,213.0,-70.0,213.0,-8.0,-24.0,-7.0,213.0,-8.0,213.0,-8.0,-8.0,-8.0,-8.0,213.0,167.0,-8.0,-8.0,-8.0
8,-8.0,213.0,167.0,213.0,-7.0,213.0,-11.0,213.0,213.0,177.0,167.0,213.0,213.0,213.0,-48.0,213.0,213.0,-8.0,-8.0,-7.0
9,213.0,213.0,213.0,167.0,-7.0,213.0,213.0,111.0,-11.0,213.0,213.0,-7.0,213.0,213.0,167.0,213.0,213.0,213.0,213.0,213.0
10,213.0,213.0,213.0,213.0,-31.0,213.0,213.0,213.0,147.0,213.0,213.0,213.0,250.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0
11,147.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,-25.0,213.0,213.0,-7.0,213.0,250.0,213.0,213.0,213.0,213.0
12,-31.0,213.0,213.0,213.0,213.0,213.0,213.0,-11.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,250.0,213.0,213.0,213.0
13,213.0,-6.0,213.0,-8.0,-36.0,213.0,-42.0,213.0,-71.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0
14,213.0,213.0,-39.0,213.0,213.0,-22.0,213.0,213.0,213.0,-53.0,176.0,213.0,213.0,213.0,-6.0,213.0,213.0,213.0,213.0,-11.0
15,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,102.0,213.0,-21.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0
16,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,-53.0,213.0,213.0,213.0,213.0,139.0,213.0
17,213.0,213.0,213.0,213.0,213.0,-42.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,-31.0,213.0,213.0,213.0,213.0,213.0,213.0
18,213.0,213.0,180.0,213.0,213.0,213.0,177.0,213.0,213.0,213.0,-36.0,213.0,213.0,-22.0,213.0,213.0,213.0,250.0,213.0,-31.0
19,213.0,-31.0,-42.0,-22.0,213.0,214.0,250.0,-53.0,213.0,-22.0,-22.0,250.0,213.0,213.0,-25.0,250.0,213.0,213.0,213.0,213.0

