generation, indID, genome_1, genome_2, genome_3, genome_4, genome_5
0,0,5,2,1,8,2
0,1,0,1,0,3,2
0,2,4,1,4,2,2
0,3,0,0,4,5,2
0,4,1,2,2,2,0
0,5,0,3,0,5,1
0,6,1,0,0,8,1
0,7,2,3,1,2,0
0,8,5,4,0,8,0
0,9,2,4,4,9,1
0,10,5,4,1,1,1
0,11,1,2,1,4,2
0,12,5,1,1,4,2
0,13,1,2,1,9,0
0,14,0,4,1,1,1
0,15,1,3,4,9,2
0,16,5,4,0,0,2
0,17,0,2,2,3,0
0,18,2,1,3,7,2
0,19,4,0,3,0,1
1,0,1,0,0,8,1
1,1,0,1,0,3,2
1,2,1,3,3,7,2
1,3,4,1,4,2,2
1,4,0,4,1,1,1
1,5,1,2,1,10,0
1,6,4,0,3,0,1
1,7,2,2,1,4,0
1,8,2,4,1,2,0
1,9,1,2,3,5,2
1,10,0,0,4,5,2
1,11,1,0,1,7,1
1,12,0,2,1,3,1
1,13,4,2,0,8,1
1,14,0,1,0,3,2
1,15,2,3,1,2,0
1,16,1,4,1,2,1
1,17,2,1,3,8,2
1,18,1,2,1,5,2
1,19,4,4,1,1,1
2,0,2,3,1,3,0
2,1,0,0,4,5,2
2,2,1,0,1,8,1
2,3,0,4,1,1,1
2,4,2,4,1,2,0
2,5,0,1,3,3,2
2,6,4,4,1,10,1
2,7,4,1,4,3,2
2,8,3,1,3,4,2
2,9,0,2,1,3,1
2,10,0,4,1,1,1
2,11,2,0,1,3,0
2,12,2,4,1,2,0
2,13,1,2,1,10,0
2,14,1,2,1,9,0
2,15,0,1,0,3,2
2,16,3,2,2,1,0
2,17,2,3,1,2,0
2,18,0,4,1,1,1
2,19,1,2,1,8,1
3,0,0,1,0,3,2
3,1,0,2,1,3,1
3,2,0,4,1,1,1
3,3,0,1,3,5,2
3,4,2,3,1,2,0
3,5,1,2,1,3,1
3,6,2,0,1,2,0
3,7,2,0,1,2,0
3,8,3,2,2,1,0
3,9,0,4,1,1,1
3,10,1,0,2,3,1
3,11,0,2,1,3,1
3,12,1,1,1,7,1
3,13,0,1,0,3,2
3,14,2,3,1,2,0
3,15,0,4,1,1,1
3,16,3,2,2,2,0
3,17,0,4,1,1,1
3,18,2,1,1,5,0
3,19,1,2,1,2,0
4,0,3,2,2,1,0
4,1,1,0,2,3,1
4,2,0,2,1,3,1
4,3,0,4,1,1,1
4,4,2,1,1,4,0
4,5,0,2,0,2,2
4,6,2,2,1,2,0
4,7,1,2,1,2,0
4,8,2,0,1,2,0
4,9,3,2,2,2,0
4,10,1,2,1,2,0
4,11,1,2,1,2,0
4,12,0,3,1,2,1
4,13,2,0,1,2,0
4,14,1,2,1,2,0
4,15,3,0,2,3,1
4,16,2,1,2,3,0
4,17,2,3,1,2,0
4,18,1,0,1,2,1
4,19,2,0,1,2,0
5,0,1,2,1,2,0
5,1,1,2,1,2,1
5,2,1,2,1,2,0
5,3,2,1,2,3,1
5,4,2,1,1,2,0
5,5,1,2,1,2,0
5,6,1,2,1,2,0
5,7,1,1,1,2,1
5,8,1,2,1,3,1
5,9,2,2,1,2,0
5,10,1,2,1,2,0
5,11,1,2,1,2,0
5,12,0,2,1,3,1
5,13,1,2,1,2,0
5,14,2,0,1,3,0
5,15,3,2,2,1,0
5,16,1,2,1,2,0
5,17,1,2,1,2,0
5,18,2,1,1,2,0
5,19,0,2,1,3,1
6,0,1,2,1,2,0
6,1,1,2,1,2,0
6,2,2,0,1,3,0
6,3,1,2,1,2,0
6,4,1,2,1,2,0
6,5,0,2,1,3,1
6,6,2,2,2,1,0
6,7,1,2,1,2,0
6,8,1,3,1,2,2
6,9,1,2,1,2,0
6,10,1,2,1,2,0
6,11,2,1,1,2,0
6,12,1,2,1,2,0
6,13,1,2,1,2,0
6,14,1,2,1,2,0
6,15,1,2,1,2,0
6,16,1,1,1,2,0
6,17,1,2,1,2,0
6,18,1,2,1,2,0
6,19,1,2,1,2,0
7,0,1,1,1,2,0
7,1,2,0,1,3,0
7,2,2,0,1,3,0
7,3,1,2,1,2,2
7,4,2,0,1,3,0
7,5,1,2,1,2,0
7,6,1,2,1,4,0
7,7,1,2,0,4,0
7,8,2,0,1,3,0
7,9,1,2,1,2,0
7,10,2,0,1,3,0
7,11,1,2,1,2,0
7,12,1,2,1,2,0
7,13,1,2,1,2,0
7,14,1,2,1,2,0
7,15,2,0,1,3,0
7,16,1,1,1,2,0
7,17,1,2,1,2,0
7,18,1,2,1,2,0
7,19,1,2,1,2,0
8,0,1,2,1,2,0
8,1,2,0,1,3,0
8,2,1,1,1,2,0
8,3,2,0,1,3,0
8,4,1,2,0,4,0
8,5,2,0,1,3,0
8,6,2,1,1,3,0
8,7,2,0,1,3,0
8,8,2,0,1,3,0
8,9,2,0,0,3,0
8,10,1,1,1,2,0
8,11,2,0,1,3,0
8,12,2,0,1,3,0
8,13,2,0,1,3,0
8,14,1,4,1,2,0
8,15,2,0,1,3,0
8,16,2,0,1,3,0
8,17,1,2,1,2,0
8,18,1,2,1,2,0
8,19,2,0,1,5,0
9,0,2,0,1,3,0
9,1,2,0,1,3,0
9,2,2,0,1,3,0
9,3,1,1,1,2,0
9,4,2,0,1,5,0
9,5,2,0,1,3,0
9,6,2,0,1,3,0
9,7,0,0,0,3,0
9,8,2,1,1,3,0
9,9,2,0,1,3,0
9,10,2,0,1,3,0
9,11,1,2,0,4,0
9,12,2,0,1,3,0
9,13,2,0,1,3,0
9,14,1,1,1,2,0
9,15,2,0,1,3,0
9,16,2,0,1,3,0
9,17,2,0,1,3,0
9,18,2,0,1,3,0
9,19,2,0,1,3,0
10,0,2,0,1,3,0
10,1,2,0,1,3,0
10,2,2,0,1,3,0
10,3,2,0,1,3,0
10,4,2,0,1,8,0
10,5,2,0,1,3,0
10,6,2,0,1,3,0
10,7,2,0,1,3,0
10,8,0,0,1,3,0
10,9,2,0,1,3,0
10,10,2,0,1,3,0
10,11,2,0,1,3,0
10,12,2,0,1,4,0
10,13,2,0,1,3,0
10,14,2,0,1,3,0
10,15,2,0,1,3,0
10,16,2,0,1,3,0
10,17,2,0,1,3,0
10,18,2,0,1,3,0
10,19,2,0,1,3,0
11,0,0,0,1,3,0
11,1,2,0,1,3,0
11,2,2,0,1,3,0
