generation, indID, genome_1, genome_2, genome_3, genome_4, genome_5
0,0,"[[0,1.0]]","[[0,1.0]]","[[0,1.0]]","[[0,1.0]]","[[0,1.0]]"
0,1,"[[1,1.0]]","[[1,1.0]]","[[1,1.0]]","[[1,1.0]]","[[1,1.0]]"
0,2,"[[2,1.0]]","[[2,1.0]]","[[2,1.0]]","[[2,1.0]]","[[2,1.0]]"
0,3,"[[3,1.0]]","[[3,1.0]]","[[3,1.0]]","[[3,1.0]]","[[3,1.0]]"
0,4,"[[4,1.0]]","[[4,1.0]]","[[4,1.0]]","[[4,1.0]]","[[4,1.0]]"
0,5,"[[5,1.0]]","[[5,1.0]]","[[5,1.0]]","[[5,1.0]]","[[5,1.0]]"
0,6,"[[6,1.0]]","[[6,1.0]]","[[6,1.0]]","[[6,1.0]]","[[6,1.0]]"
0,7,"[[7,1.0]]","[[7,1.0]]","[[7,1.0]]","[[7,1.0]]","[[7,1.0]]"
0,8,"[[8,1.0]]","[[8,1.0]]","[[8,1.0]]","[[8,1.0]]","[[8,1.0]]"
0,9,"[[9,1.0]]","[[9,1.0]]","[[9,1.0]]","[[9,1.0]]","[[9,1.0]]"
0,10,"[[10,1.0]]","[[10,1.0]]","[[10,1.0]]","[[10,1.0]]","[[10,1.0]]"
0,11,"[[11,1.0]]","[[11,1.0]]","[[11,1.0]]","[[11,1.0]]","[[11,1.0]]"
0,12,"[[12,1.0]]","[[12,1.0]]","[[12,1.0]]","[[12,1.0]]","[[12,1.0]]"
0,13,"[[13,1.0]]","[[13,1.0]]","[[13,1.0]]","[[13,1.0]]","[[13,1.0]]"
0,14,"[[14,1.0]]","[[14,1.0]]","[[14,1.0]]","[[14,1.0]]","[[14,1.0]]"
0,15,"[[15,1.0]]","[[15,1.0]]","[[15,1.0]]","[[15,1.0]]","[[15,1.0]]"
0,16,"[[16,1.0]]","[[16,1.0]]","[[16,1.0]]","[[16,1.0]]","[[16,1.0]]"
0,17,"[[17,1.0]]","[[17,1.0]]","[[17,1.0]]","[[17,1.0]]","[[17,1.0]]"
0,18,"[[18,1.0]]","[[18,1.0]]","[[18,1.0]]","[[18,1.0]]","[[18,1.0]]"
0,19,"[[19,1.0]]","[[19,1.0]]","[[19,1.0]]","[[19,1.0]]","[[19,1.0]]"
1,0,"[[6,0.5], [13,0.5]]","[[6,1.0]]","[[6,1.0]]","[[6,1.0]]","[[6,1.0]]"
1,1,"[[1,1.0]]","[[1,1.0]]","[[1,1.0]]","[[1,1.0]]","[[1,1.0]]"
1,2,"[[15,1.0]]","[[15,1.0]]","[[14,0.33333333333333337], [15,0.6666666666666667]]","[[14,0.25], [15,0.75]]","[[15,1.0]]"
1,3,"[[2,1.0]]","[[2,1.0]]","[[2,1.0]]","[[2,1.0]]","[[2,1.0]]"
1,4,"[[14,1.0]]","[[14,1.0]]","[[14,1.0]]","[[14,1.0]]","[[14,1.0]]"
1,5,"[[13,1.0]]","[[13,1.0]]","[[13,1.0]]","[[13,0.9090909090909091], [19,0.09090909090909094]]","[[13,1.0]]"
1,6,"[[19,1.0]]","[[19,1.0]]","[[19,1.0]]","[[19,1.0]]","[[19,1.0]]"
1,7,"[[7,1.0]]","[[6,0.33333333333333337], [7,0.6666666666666667]]","[[7,1.0]]","[[6,0.33333333333333337], [7,0.6666666666666667]]","[[-33,1.0]]"
1,8,"[[7,1.0]]","[[-34,1.0]]","[[7,1.0]]","[[7,1.0]]","[[7,1.0]]"
1,9,"[[11,1.0]]","[[11,1.0]]","[[-35,1.0]]","[[11,0.6666666666666667], [18,0.33333333333333337]]","[[11,0.5], [18,0.5]]"
1,10,"[[3,0.5], [17,0.5]]","[[3,1.0]]","[[3,1.0]]","[[3,1.0]]","[[3,1.0]]"
1,11,"[[6,1.0]]","[[3,0.5], [6,0.5]]","[[3,0.25], [6,0.75]]","[[3,0.33333333333333337], [6,0.6666666666666667]]","[[6,1.0]]"
1,12,"[[1,0.5], [17,0.5]]","[[17,1.0]]","[[1,0.5], [17,0.5]]","[[1,0.5], [17,0.5]]","[[1,0.5], [17,0.5]]"
1,13,"[[-36,1.0]]","[[6,0.5], [8,0.5]]","[[6,0.5], [8,0.5]]","[[6,0.5], [8,0.5]]","[[6,1.0]]"
1,14,"[[1,1.0]]","[[1,0.5], [18,0.5]]","[[1,1.0]]","[[1,1.0]]","[[1,0.5], [18,0.5]]"
1,15,"[[7,1.0]]","[[7,1.0]]","[[7,1.0]]","[[7,1.0]]","[[7,0.5], [17,0.5]]"
1,16,"[[4,1.0]]","[[-37,1.0]]","[[1,0.5], [4,0.5]]","[[4,1.0]]","[[1,0.5], [4,0.5]]"
1,17,"[[18,1.0]]","[[1,0.5], [18,0.5]]","[[18,1.0]]","[[1,0.16666666666666663], [18,0.8333333333333334]]","[[1,0.5], [18,0.5]]"
1,18,"[[11,0.5], [13,0.5]]","[[11,0.5], [13,0.5]]","[[11,0.5], [13,0.5]]","[[11,0.8], [13,0.19999999999999996]]","[[11,1.0]]"
1,19,"[[10,0.8], [14,0.19999999999999996]]","[[10,0.5], [14,0.5]]","[[10,0.5], [14,0.5]]","[[10,0.5], [14,0.5]]","[[10,0.5], [14,0.5]]"
2,0,"[[7,1.0]]","[[-37,0.5], [6,0.16666666666666669], [7,0.33333333333333337]]","[[1,0.25], [4,0.25], [7,0.5]]","[[4,0.5], [6,0.16666666666666669], [7,0.33333333333333337]]","[[-33,1.0]]"
2,1,"[[3,0.5], [17,0.5]]","[[3,1.0]]","[[3,1.0]]","[[-67,1.0]]","[[3,1.0]]"
2,2,"[[6,1.0]]","[[3,0.5], [6,0.5]]","[[3,0.125], [6,0.375], [7,0.5]]","[[3,0.28571428571428575], [6,0.5714285714285715], [7,0.1428571428571429]]","[[6,1.0]]"
2,3,"[[14,1.0]]","[[14,1.0]]","[[7,0.5], [14,0.5]]","[[14,1.0]]","[[14,1.0]]"
2,4,"[[7,1.0]]","[[-34,1.0]]","[[1,0.25], [7,0.5], [17,0.25]]","[[7,1.0]]","[[7,1.0]]"
2,5,"[[1,1.0]]","[[1,1.0]]","[[-68,1.0]]","[[1,1.0]]","[[1,1.0]]"
2,6,"[[10,0.8], [14,0.19999999999999996]]","[[10,0.5], [14,0.5]]","[[10,0.5], [14,0.5]]","[[-69,1.0]]","[[6,0.5], [10,0.25], [14,0.25]]"
2,7,"[[2,1.0]]","[[2,1.0]]","[[2,1.0]]","[[2,0.8333333333333334], [6,0.16666666666666663]]","[[2,1.0]]"
2,8,"[[2,0.6666666666666667], [6,0.33333333333333337]]","[[2,1.0]]","[[2,0.6666666666666667], [3,0.08333333333333334], [6,0.25]]","[[2,0.6], [3,0.13333333333333336], [6,0.2666666666666667]]","[[2,1.0]]"
2,9,"[[1,0.75], [17,0.25]]","[[17,1.0]]","[[1,0.5], [17,0.5]]","[[1,0.75], [17,0.25]]","[[1,0.5], [17,0.5]]"
2,10,"[[14,1.0]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]"
2,11,"[[7,1.0]]","[[3,0.5], [6,0.5]]","[[3,0.125], [6,0.375], [7,0.5]]","[[3,0.06666666666666667], [6,0.13333333333333333], [7,0.8]]","[[7,1.0]]"
2,12,"[[-70,1.0]]","[[-34,0.5], [14,0.5]]","[[7,0.5], [14,0.5]]","[[7,1.0]]","[[7,1.0]]"
2,13,"[[13,1.0]]","[[13,1.0]]","[[13,1.0]]","[[13,0.9090909090909091], [19,0.09090909090909094]]","[[13,1.0]]"
2,14,"[[13,1.0]]","[[13,1.0]]","[[7,0.5], [13,0.5]]","[[7,0.125], [13,0.7954545454545454], [19,0.07954545454545457]]","[[7,0.5], [13,0.5]]"
2,15,"[[1,1.0]]","[[1,0.5], [18,0.5]]","[[1,1.0]]","[[1,1.0]]","[[1,0.5], [18,0.5]]"
2,16,"[[7,0.5], [19,0.5]]","[[7,0.6666666666666667], [19,0.33333333333333337]]","[[7,0.5], [19,0.5]]","[[7,0.5], [19,0.5]]","[[7,0.5], [17,0.5]]"
2,17,"[[7,1.0]]","[[7,1.0]]","[[7,0.5], [14,0.5]]","[[7,1.0]]","[[7,0.5], [17,0.5]]"
2,18,"[[14,1.0]]","[[14,1.0]]","[[14,1.0]]","[[14,1.0]]","[[14,1.0]]"
2,19,"[[13,1.0]]","[[13,1.0]]","[[13,1.0]]","[[1,0.2857142857142857], [13,0.6493506493506493], [19,0.06493506493506496]]","[[1,0.25], [13,0.5], [18,0.25]]"
3,0,"[[1,0.875], [17,0.125]]","[[1,0.5], [18,0.5]]","[[1,1.0]]","[[1,0.875], [17,0.125]]","[[1,0.5], [18,0.5]]"
3,1,"[[1,0.75], [17,0.25]]","[[17,1.0]]","[[1,0.25], [3,0.0625], [6,0.1875], [7,0.25], [17,0.25]]","[[1,0.375], [3,0.03333333333333333], [6,0.06666666666666667], [7,0.4], [17,0.125]]","[[1,0.5], [17,0.5]]"
3,2,"[[14,1.0]]","[[14,1.0]]","[[7,0.5], [14,0.5]]","[[14,1.0]]","[[14,1.0]]"
3,3,"[[1,1.0]]","[[1,1.0]]","[[-68,1.0]]","[[-98,1.0]]","[[1,1.0]]"
3,4,"[[7,1.0]]","[[-37,0.25], [6,0.08333333333333334], [7,0.6666666666666667]]","[[1,0.125], [4,0.125], [7,0.5], [14,0.25]]","[[7,1.0]]","[[-33,0.5], [7,0.25], [17,0.25]]"
3,5,"[[13,1.0]]","[[13,1.0]]","[[13,0.5], [14,0.5]]","[[-99,1.0]]","[[1,0.125], [13,0.25], [14,0.5], [18,0.125]]"
3,6,"[[-70,1.0]]","[[-100,1.0]]","[[7,0.5], [14,0.5]]","[[7,1.0]]","[[7,1.0]]"
3,7,"[[7,1.0]]","[[3,0.5], [6,0.5]]","[[3,0.0625], [6,0.1875], [7,0.25], [13,0.5]]","[[3,0.059259259259259255], [6,0.11851851851851851], [7,0.7111111111111111], [13,0.10101010101010105], [19,0.010101010101010109]]","[[7,0.5], [13,0.5]]"
3,8,"[[7,0.5], [19,0.5]]","[[7,0.6666666666666667], [19,0.33333333333333337]]","[[7,0.5], [19,0.5]]","[[7,0.25], [14,0.5], [19,0.25]]","[[7,0.5], [17,0.5]]"
3,9,"[[1,0.5], [14,0.5]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]"
3,10,"[[1,0.5], [7,0.5]]","[[3,0.5], [6,0.5]]","[[-68,0.5], [3,0.0625], [6,0.1875], [7,0.25]]","[[1,0.5], [3,0.03333333333333333], [6,0.06666666666666667], [7,0.4]]","[[1,0.5], [7,0.5]]"
3,11,"[[1,0.75], [17,0.25]]","[[17,1.0]]","[[1,0.25], [3,0.0625], [6,0.1875], [7,0.25], [17,0.25]]","[[1,0.375], [3,0.03333333333333333], [6,0.06666666666666667], [7,0.4], [17,0.125]]","[[1,0.5], [17,0.5]]"
3,12,"[[6,1.0]]","[[-37,0.16666666666666669], [3,0.33333333333333337], [6,0.38888888888888895], [7,0.11111111111111113]]","[[1,0.125], [3,0.0625], [4,0.125], [6,0.1875], [7,0.5]]","[[3,0.22857142857142862], [4,0.09999999999999998], [6,0.49047619047619057], [7,0.18095238095238098]]","[[6,1.0]]"
3,13,"[[1,0.5], [14,0.5]]","[[1,0.5], [18,0.5]]","[[1,1.0]]","[[1,1.0]]","[[1,0.5], [18,0.5]]"
3,14,"[[7,1.0]]","[[7,1.0]]","[[7,0.5], [14,0.5]]","[[7,1.0]]","[[7,0.5], [17,0.5]]"
3,15,"[[14,1.0]]","[[14,1.0]]","[[3,0.0625], [6,0.1875], [7,0.25], [14,0.5]]","[[14,1.0]]","[[14,1.0]]"
3,16,"[[7,0.5], [19,0.5]]","[[7,0.6666666666666667], [19,0.33333333333333337]]","[[7,0.5], [19,0.5]]","[[3,0.04081632653061226], [6,0.08163265306122452], [7,0.44897959183673475], [19,0.4285714285714286]]","[[7,0.5], [17,0.5]]"
3,17,"[[14,1.0]]","[[10,0.25], [14,0.75]]","[[3,0.0625], [6,0.1875], [7,0.25], [10,0.125], [14,0.375]]","[[10,0.25], [14,0.75]]","[[10,0.25], [14,0.75]]"
3,18,"[[7,1.0]]","[[3,0.25], [6,0.25], [13,0.5]]","[[3,0.0625], [6,0.1875], [7,0.25], [13,0.5]]","[[3,0.047619047619047616], [6,0.09523809523809523], [7,0.5714285714285715], [13,0.2597402597402597], [19,0.025974025974025983]]","[[7,0.5], [13,0.5]]"
